Emocion,Termino_emocional,Lista_sinonimos,Negacion_Considerar,Respuesta,Notas_Culturales
miedo,temor,fobia,sí,"Parece que estás sintiendo miedo. ¿Quieres hablar más sobre ello, o te gustaría intentar alguna técnica para tranquilizarte?","Universal."
miedo,ansiedad,preocupación,sí,"Entiendo que te sientes ansioso. A veces, respirar profundo ayuda. ¿Quieres que lo intentemos o prefieres charlar?","Universal."
miedo,pánico,terror,sí,"Veo que el pánico te está afectando. ¿Te gustaría que te guiara en un ejercicio de respiración para calmarte?","Universal."
miedo,preocupación,inquietud,sí,"Entiendo que estás preocupado. Aquí estoy para escucharte, ¿quieres compartir lo que te inquieta?","Universal."
miedo,susto,espanto,sí,"¡Vaya, parece que te llevaste un susto! ¿Quieres contarme qué pasó?","Común en México para una sorpresa o miedo repentino."
miedo,con el Jesús en la boca,nervioso,no,"Andas con el Jesús en la boca, ¿verdad? Tranquilo/a, estoy aquí para escuchar lo que te asusta.","Modismo mexicano para estar muy nervioso o asustado."
miedo,paniqueado,asustado,no,"Me imagino que te sientes paniqueado. ¿Quieres que busquemos una forma de calmarte?","Coloquial en México para ""sentir pánico""."
miedo,escalofrío,miedo,no,"Parece que algo te dio escalofrío. ¿Qué te hizo sentir así?","Universal, pero ""dar escalofrío"" es común."
ira,enojo,rabia,sí,"Veo que estás molesto. ¿Quieres contar qué te ha enojado o prefieres desahogarte?","Universal."
ira,resentimiento,rencor,sí,"Parece que tienes resentimiento. Es válido sentirlo. ¿Quieres expresarlo o buscar una solución para aliviarlo?","Universal."
ira,furia,indignación,sí,"Eso suena a mucha furia. ¿Te gustaría hablar sobre lo que te enoja tanto?","Universal."
ira,irritación,molestia,sí,"Parece que estás irritado. ¿Quieres contar qué te incomoda? Estoy aquí para escuchar.","Universal."
ira,frustración,impotencia,sí,"Entiendo que te sientes frustrado. A veces es difícil cuando las cosas no salen. ¿Quieres que te apoye en algo?","Universal."
ira,encabronado,furioso,no,"¡Híjole! Parece que estás encabronado. Es válido sentir esa furia. ¿Quieres desahogarte?","Coloquial y fuerte en México para ""muy enojado""."
ira,sacado de onda,desconcertado,no,"Uy, me imagino que te sacó de onda lo que pasó. ¿Quieres platicar más?","Modismo mexicano para estar sorprendido/molesto negativamente."
ira,estar de malas,irritado,no,"Hoy amaneciste de malas, ¿verdad? A veces pasa. ¿Qué te ayudaría a sentirte mejor?","Modismo mexicano para estar de mal humor."
ira,me hierve la sangre,rabia,no,"Uf, parece que te hierve la sangre. Es una emoción fuerte. ¿Quieres hablar de qué la provocó?","Expresión común para un enojo intenso."
dolor,malestar,sufrimiento,sí,"Lamento que estés pasando por dolor. ¿Quieres hablar sobre lo que te causa eso, o prefieres distraerte un poco?","Universal."
dolor,angustia,aflicción,sí,"Veo que sientes angustia. Estoy aquí para ti, ¿quieres compartir qué te preocupa?","Universal."
dolor,pena,sentimiento triste,sí,"Siento que te sientes con pena. ¿Quieres contarme qué te está afectando?","Universal, pero ""pena"" puede ser también vergüenza en México. Asegúrate de contexto."
dolor,desconsuelo,aflicción,sí,"Estoy aquí para ti. ¿Quieres hablar de lo que te causa tristeza y desconsuelo?","Universal."
dolor,sufrimiento,tormento,sí,"Noto que estás sufriendo. Es normal. ¿Hay algo en lo que pueda apoyarte?","Universal."
dolor,agüite,tristeza profunda,no,"Me doy cuenta de que sientes agüite. Aquí estoy si quieres desahogarte.","Sustantivo coloquial mexicano para ""tristeza"" o ""depresión leve""."
tristeza,depresión,melancolía,sí,"Siento que te sientes con depresión o melancolía. Es importante que sepas que no estás solo/a. ¿Quieres contarme qué te preocupa?","Universal."
tristeza,desesperanza,aflicción,sí,"Parece que estás sin esperanza. Estoy aquí para apoyarte si quieres hablar o si necesitas explorar opciones.","Universal."
tristeza,soledad,aislamiento,sí,"¿Te sientes solo/a? Es una emoción difícil. Estoy aquí para escucharte y acompañarte.","Universal."
tristeza,aflicción,desconsuelo,sí,"Lamento que te sientas con tanta aflicción. ¿Quieres compartir lo que te afecta?","Universal."
tristeza,nostalgia,melancolía,sí,"Parece que sientes nostalgia. ¿Hay algo de lo que extrañes que te gustaría recordar o hablar?","Universal."
tristeza,bajoneado,desanimado,no,"Te noto un poco bajoneado/a. A veces un día así pasa. ¿Quieres platicar?","Coloquial en México para ""desanimado"", ""triste""."
tristeza,me siento agüitado,triste,no,"Entiendo, te sientes agüitado. Es una emoción válida. ¿Qué te ayudaría a sentirte un poco mejor?","Modismo muy común en México."
tristeza,ando con la pila baja,desanimado,no,"Parece que andas con la pila baja hoy. ¿Hay algo que te agobie?","Modismo mexicano para estar desanimado, sin energía."
alegría,felicidad,júbilo,sí,"¡Qué bueno que te sientes feliz! ¿Quieres compartir qué te ha hecho sentir tan bien?","Universal."
alegría,entusiasmo,alegría,sí,"Es genial que estés entusiasmado/a. ¡Me contagias la energía! ¿Quieres contarme qué te motiva?","Universal."
alegría,emoción,regocijo,sí,"¡Veo que estás emocionado/a! ¡Qué bien! ¿Quieres contarme qué te ha pasado?","Universal."
alegría,diversión,placer,sí,"¡Qué divertido! Me alegra que la estés pasando bien. ¿Quieres contarme qué te hizo sentir así?","Universal."
alegría,optimismo,esperanza,sí,"¡Qué bien que estás optimista! ¡Me da gusto escucharlo! ¿Quieres compartir qué te inspira?","Universal."
alegría,chido,padre,no,"¡Qué chido que te sientes así! ¡Me alegra mucho escucharlo!","Coloquial y muy común en México para ""genial"", ""muy bueno""."
alegría,a toda madre,excelente,no,"¡Guau, a toda madre! ¡Qué gusto que te sientas así de bien!","Expresión muy coloquial y fuerte de gran alegría o satisfacción en México."
alegría,qué padre,genial,no,"¡Qué padre que te sientas así! ¡Me da mucho gusto!","Modismo muy común en México para ""genial"", ""excelente""."
alegría,estar de buenas,feliz,no,"Hoy amaneciste de buenas, ¿verdad? ¡Me alegra mucho!","Modismo mexicano para estar de buen humor."
asco,repulsión,aversión,sí,"Parece que algo te está causando asco. ¿Quieres contarme qué pasa?","Universal."
asco,náusea,repugnancia,sí,"Si sientes náuseas o asco, es importante. ¿Qué fue lo que te generó esa sensación?","Universal, pero ""asco"" se usa más amplio."
asco,me da cosa,disgusto,no,"Uy, parece que eso 'te dio cosa'. ¿Qué fue lo que te generó esa sensación?","Coloquial en México para generar una sensación de repulsión o incomodidad (no necesariamente física)."
asco,qué oso,vergüenza ajena,no,"¡Ay, qué oso! Entiendo que te dé vergüenza o repulsión. ¿Quieres platicar?","Modismo mexicano para sentir vergüenza ajena o una fuerte repulsión por algo embarazoso."
culpa,remordimiento,arrepentimiento,sí,"Noto que sientes culpa. Es una emoción compleja. ¿Quieres hablar de lo que te hace sentir así?","Nueva emoción propuesta."
culpa,cargo de conciencia,responsabilidad,no,"Parece que tienes un cargo de conciencia. Estoy aquí para escucharte sin juzgar.","Nueva emoción propuesta, modismo."
vergüenza,bochorno,humillación,sí,"Veo que sientes vergüenza. Es una emoción difícil de manejar. ¿Quieres contarme qué la causó?","Nueva emoción propuesta."
vergüenza,pena ajena,incomodidad,no,"¡Uy, me da pena ajena eso! Entiendo que te sientas incómodo/a. ¿Qué pasó?","Nueva emoción propuesta, modismo mexicano."